"beta_hat","beta","gamma","sigma","distribution","g","r"
-0.115290253896734,0.05,0.5,0.5,"normal",18,102
0.300829586063265,0.05,0.5,0.5,"normal",18,102
0.30672683426074,0.05,0.5,0.5,"normal",18,102
0.140781418585185,0.05,0.5,0.5,"normal",18,102
-0.246396227872939,0.05,0.5,0.5,"normal",18,102
-0.116980219907633,0.05,0.5,0.5,"normal",18,102
-0.349422148251424,0.05,0.5,0.5,"normal",18,102
0.334406165257092,0.05,0.5,0.5,"normal",18,102
-0.0775104853642975,0.05,0.5,0.5,"normal",18,102
0.288306518535263,0.05,0.5,0.5,"normal",20,92
0.143503828117625,0.05,0.5,0.5,"normal",20,92
-0.0121732862925368,0.05,0.5,0.5,"normal",20,92
0.355939444016617,0.05,0.5,0.5,"normal",20,92
0.202269713803534,0.05,0.5,0.5,"normal",20,92
-0.0265397660387389,0.05,0.5,0.5,"normal",20,92
-0.181582973759769,0.05,0.5,0.5,"normal",20,92
0.0768530728743112,0.05,0.5,0.5,"normal",20,92
0.10157036919387,0.05,0.5,0.5,"normal",20,92
0.215667787205232,0.05,0.5,0.5,"normal",20,92
0.245331002959958,0.05,0.5,0.5,"normal",20,92
-0.111839084197684,0.05,0.5,0.5,"normal",20,92
-0.0898044717549881,0.05,0.5,0.5,"normal",20,92
-0.0278066802889808,0.05,0.5,0.5,"normal",20,92
0.0520170057677155,0.05,0.5,0.5,"normal",20,92
-0.13268780951692,0.05,0.5,0.5,"normal",20,92
-0.213168268889604,0.05,0.5,0.5,"normal",20,92
0.130169157095002,0.05,0.5,0.5,"normal",20,92
0.250956246076833,0.05,0.5,0.5,"normal",20,92
0.0545124522560032,0.05,0.5,0.5,"normal",20,92
0.0889170327260064,0.05,0.5,0.5,"normal",20,92
0.17327364153297,0.05,0.5,0.5,"normal",20,92
0.160020288695265,0.05,0.5,0.5,"normal",20,92
0.0158156023744079,0.05,0.5,0.5,"normal",20,92
0.400588977346348,0.05,0.5,0.5,"normal",20,92
0.179880128381445,0.05,0.5,0.5,"normal",20,92
-0.185514037637418,0.05,0.5,0.5,"normal",20,92
-0.04567322132651,0.05,0.5,0.5,"normal",20,92
-0.0903103367832785,0.05,0.5,0.5,"normal",20,92
-0.349052359837255,0.05,0.5,0.5,"normal",20,92
-0.22986122937699,0.05,0.5,0.5,"normal",22,83
-0.0965561387692221,0.05,0.5,0.5,"normal",22,83
-0.230312034830286,0.05,0.5,0.5,"normal",22,83
0.039927309767235,0.05,0.5,0.5,"normal",22,83
0.156006405607803,0.05,0.5,0.5,"normal",22,83
0.0558402751147994,0.05,0.5,0.5,"normal",22,83
-0.00268312063347938,0.05,0.5,0.5,"normal",22,83
0.115987882259819,0.05,0.5,0.5,"normal",22,83
-0.387385458673279,0.05,0.5,0.5,"normal",22,83
0.126416877098271,0.05,0.5,0.5,"normal",22,83
0.054601201356361,0.05,0.5,0.5,"normal",22,83
-0.0679286477772983,0.05,0.5,0.5,"normal",22,83
-0.174106033824764,0.05,0.5,0.5,"normal",22,83
0.569559938634806,0.05,0.5,0.5,"normal",22,83
0.111148836599846,0.05,0.5,0.5,"normal",22,83
0.0654612690696086,0.05,0.5,0.5,"normal",22,83
0.0516704084104058,0.05,0.5,0.5,"normal",22,83
0.224701153388725,0.05,0.5,0.5,"normal",22,83
0.40918713498741,0.05,0.5,0.5,"normal",22,83
0.0844573454774773,0.05,0.5,0.5,"normal",22,83
0.241064822827495,0.05,0.5,0.5,"normal",22,83
0.586350677968849,0.05,0.5,0.5,"normal",22,83
0.368653174098302,0.05,0.5,0.5,"normal",22,83
-0.0616851061526781,0.05,0.5,0.5,"normal",22,83
-0.0612830822539831,0.05,0.5,0.5,"normal",22,83
0.0142789346312004,0.05,0.5,0.5,"normal",22,83
0.0241868958607242,0.05,0.5,0.5,"normal",22,83
-0.113708690892194,0.05,0.5,0.5,"normal",22,83
0.162423911606913,0.05,0.5,0.5,"normal",22,83
-0.260354000105333,0.05,0.5,0.5,"normal",22,83
0.0137250850472775,0.05,0.5,0.5,"normal",24,76
0.22099659179594,0.05,0.5,0.5,"normal",24,76
-0.181200167720185,0.05,0.5,0.5,"normal",24,76
-0.125938110917915,0.05,0.5,0.5,"normal",24,76
-0.236755746228649,0.05,0.5,0.5,"normal",24,76
0.368642656521274,0.05,0.5,0.5,"normal",24,76
0.225436973204873,0.05,0.5,0.5,"normal",24,76
0.314820064704948,0.05,0.5,0.5,"normal",24,76
0.257760427348808,0.05,0.5,0.5,"normal",24,76
-0.108960834950153,0.05,0.5,0.5,"normal",24,76
0.000520297371422962,0.05,0.5,0.5,"normal",24,76
-0.159613410334727,0.05,0.5,0.5,"normal",24,76
-0.00917350767246534,0.05,0.5,0.5,"normal",24,76
-0.042113514195898,0.05,0.5,0.5,"normal",24,76
-0.0658071425986193,0.05,0.5,0.5,"normal",24,76
0.192081955988502,0.05,0.5,0.5,"normal",24,76
-0.120338258390031,0.05,0.5,0.5,"normal",24,76
-0.332431305221058,0.05,0.5,0.5,"normal",24,76
-0.144072676880778,0.05,0.5,0.5,"normal",24,76
0.076151275841499,0.05,0.5,0.5,"normal",24,76
0.115033773089626,0.05,0.5,0.5,"normal",24,76
0.0422221156437557,0.05,0.5,0.5,"normal",24,76
-0.00433175998894713,0.05,0.5,0.5,"normal",24,76
0.087989045109901,0.05,0.5,0.5,"normal",24,76
0.08110558282158,0.05,0.5,0.5,"normal",24,76
-0.0295207818275451,0.05,0.5,0.5,"normal",24,76
0.29055666008976,0.05,0.5,0.5,"normal",24,76
0.27787745760758,0.05,0.5,0.5,"normal",24,76
-0.0608498424025255,0.05,0.5,0.5,"normal",24,76
-0.063570375343346,0.05,0.5,0.5,"normal",24,76
0.0753092216638383,0.05,0.5,0.5,"normal",26,70
0.57810691875943,0.05,0.5,0.5,"normal",26,70
-0.0761608815257419,0.05,0.5,0.5,"normal",26,70
0.235475439057492,0.05,0.5,0.5,"normal",26,70
-0.201693191102151,0.05,0.5,0.5,"normal",26,70
0.144726272428594,0.05,0.5,0.5,"normal",26,70
-0.0530829705242305,0.05,0.5,0.5,"normal",26,70
0.0751202643434735,0.05,0.5,0.5,"normal",26,70
0.00680605641585822,0.05,0.5,0.5,"normal",26,70
0.21130365321741,0.05,0.5,0.5,"normal",26,70
0.262659048438959,0.05,0.5,0.5,"normal",26,70
0.00520848295964687,0.05,0.5,0.5,"normal",26,70
0.107616770592736,0.05,0.5,0.5,"normal",26,70
0.114295884011104,0.05,0.5,0.5,"normal",26,70
0.0420746932729116,0.05,0.5,0.5,"normal",26,70
0.29273811299955,0.05,0.5,0.5,"normal",26,70
-0.0222546720715903,0.05,0.5,0.5,"normal",26,70
