"beta_hat","beta","gamma","sigma","distribution","g","r"
3.96998278586595,4,0.005,0.5,"normal",6,174
3.98838161054119,4,0.005,0.5,"normal",6,174
4.05634326907043,4,0.005,0.5,"normal",6,174
4.00381252842745,4,0.005,0.5,"normal",6,174
3.97547687140464,4,0.005,0.5,"normal",6,174
4.01569759627967,4,0.005,0.5,"normal",6,174
3.96099813810288,4,0.005,0.5,"normal",6,174
4.05500245966427,4,0.005,0.5,"normal",6,174
4.01189492613631,4,0.005,0.5,"normal",6,174
4.03199695124477,4,0.005,0.5,"normal",6,174
3.95934043448965,4,0.005,0.5,"normal",6,174
3.95281607267777,4,0.005,0.5,"normal",6,174
4.0400836190908,4,0.005,0.5,"normal",6,174
4.00354576961578,4,0.005,0.5,"normal",6,174
4.00276769285614,4,0.005,0.5,"normal",6,174
3.9900879054868,4,0.005,0.5,"normal",6,174
4.041738541723,4,0.005,0.5,"normal",6,174
4.00736846923419,4,0.005,0.5,"normal",6,174
3.98655101203245,4,0.005,0.5,"normal",6,174
3.97647736255352,4,0.005,0.5,"normal",6,174
3.99535192447451,4,0.005,0.5,"normal",6,174
4.00291923493959,4,0.005,0.5,"normal",6,174
4.0270877744949,4,0.005,0.5,"normal",6,174
4.00954162801756,4,0.005,0.5,"normal",6,174
3.98954730726978,4,0.005,0.5,"normal",6,174
4.01185368517614,4,0.005,0.5,"normal",6,174
3.98971623395298,4,0.005,0.5,"normal",6,174
3.96952731097959,4,0.005,0.5,"normal",6,174
4.01748511654706,4,0.005,0.5,"normal",6,174
3.98287341790289,4,0.005,0.5,"normal",6,174
4.02936856008125,4,0.005,0.5,"normal",6,174
4.02089693576777,4,0.005,0.5,"normal",6,174
3.99295994395662,4,0.005,0.5,"normal",6,174
3.9589761968672,4,0.005,0.5,"normal",6,174
3.9630949864569,4,0.005,0.5,"normal",6,174
4.02087046519706,4,0.005,0.5,"normal",6,174
3.98306991593665,4,0.005,0.5,"normal",6,174
